epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7541,1.16754,3.72763,1.05599,0.64258,0.52875,0.5847,0.40909,1.15686,1.82018,1.18721,0.000107455,0.000107455,0.000107455
2,143.624,1.14069,1.92999,1.12424,0.77156,0.87334,0.92182,0.68925,0.99936,0.88014,1.1609,0.000172527,0.000172527,0.000172527
3,211.242,1.10635,1.39748,1.12981,0.92081,0.97269,0.98374,0.75616,0.92914,0.70645,1.10478,0.000194964,0.000194964,0.000194964
4,274.636,1.07974,1.19524,1.1096,0.95377,0.98308,0.9914,0.76415,0.896,0.64678,1.0857,0.000131138,0.000131138,0.000131138
5,349.336,1.06271,1.09603,1.10629,0.96835,0.95942,0.98931,0.7585,0.93461,0.61318,1.09221,6.7184e-05,6.7184e-05,6.7184e-05
